time_ms,m0,m1,m2,m3
0,0,0,0,0
1000,0,0,0,0
1500,-132,132,132,-132
2000,-263,263,263,-263
2500,-395,395,395,-395
3000,-526,526,526,-526
3500,-658,658,658,-658
4000,-789,789,789,-789
4500,-921,921,921,-921
5000,-1053,1053,1053,-1053
5500,-1184,1184,1184,-1184
6000,-1316,1316,1316,-1316
6500,-1447,1447,1447,-1447
7000,-1579,1579,1579,-1579
7500,-1711,1711,1711,-1711
8000,-1842,1842,1842,-1842
8500,-1974,1974,1974,-1974
9000,-2105,2105,2105,-2105
9500,-2237,2237,2237,-2237
10000,-2368,2368,2368,-2368
10500,-2500,2500,2500,-2500
11000,-2632,2632,2632,-2632
11500,-2763,2763,2763,-2763
12000,-2895,2895,2895,-2895
12500,-3026,3026,3026,-3026
13000,-3158,3158,3158,-3158
13500,-3289,3289,3289,-3289
14000,-3421,3421,3421,-3421
14500,-3553,3553,3553,-3553
15000,-3684,3684,3684,-3684
15500,-3816,3816,3816,-3816
16000,-3947,3947,3947,-3947
16500,-4079,4079,4079,-4079
17000,-4211,4211,4211,-4211
17500,-4342,4342,4342,-4342
18000,-4474,4474,4474,-4474
18500,-4605,4605,4605,-4605
19000,-4737,4737,4737,-4737
19500,-4868,4868,4868,-4868
20000,-5000,5000,5000,-5000
20500,-2500,2500,2500,-2500
21000,0,0,0,0
