time_ms,m0,m1,m2,m3
0,0,0,0,0
1000,0,0,0,0
1500,-222,222,222,-222
2000,-444,444,444,-444
2500,-667,667,667,-667
3000,-889,889,889,-889
3500,-1111,1111,1111,-1111
4000,-1333,1333,1333,-1333
4500,-1556,1556,1556,-1556
5000,-1778,1778,1778,-1778
5500,-2000,2000,2000,-2000
6000,-2222,2222,2222,-2222
6500,-2444,2444,2444,-2444
7000,-2667,2667,2667,-2667
7500,-2889,2889,2889,-2889
8000,-3111,3111,3111,-3111
8500,-3333,3333,3333,-3333
9000,-3556,3556,3556,-3556
9500,-3778,3778,3778,-3778
10000,-4000,4000,4000,-4000
