time_ms,m0,m1,m2,m3
0,0,0,0,0
1000,0,0,0,0
1500,-32,26,118,-111
2000,-63,53,237,-221
2500,-95,79,355,-332
3000,-126,105,474,-442
3500,-158,132,592,-553
4000,-189,158,711,-663
4500,-221,184,829,-774
5000,-253,211,947,-884
5500,-284,237,1066,-995
6000,-316,263,1184,-1105
6500,-347,289,1303,-1216
7000,-379,316,1421,-1326
7500,-411,342,1539,-1437
8000,-442,368,1658,-1547
8500,-474,395,1776,-1658
9000,-505,421,1895,-1768
9500,-537,447,2013,-1879
10000,-568,474,2132,-1989
10500,-600,500,2250,-2100
11000,-632,526,2368,-2211
11500,-663,553,2487,-2321
12000,-695,579,2605,-2432
12500,-726,605,2724,-2542
13000,-758,632,2842,-2653
13500,-789,658,2961,-2763
14000,-821,684,3079,-2874
14500,-853,711,3197,-2984
15000,-884,737,3316,-3095
15500,-916,763,3434,-3205
16000,-947,789,3553,-3316
16500,-979,816,3671,-3426
17000,-1011,842,3789,-3537
17500,-1042,868,3908,-3647
18000,-1074,895,4026,-3758
18500,-1105,921,4145,-3868
19000,-1137,947,4263,-3979
19500,-1168,974,4382,-4089
20000,-1200,1000,4500,-4200
21000,0,0,0,0
