time_ms,m0,m1,m2,m3
0,0,0,0,0
1000,-1000,800,2000,-2000
1500,-1000,800,2034,-2034
2000,-1000,800,2069,-2069
2500,-1000,800,2103,-2103
3000,-1000,800,2138,-2138
3500,-1000,800,2172,-2172
4000,-1000,800,2207,-2207
4500,-1000,800,2241,-2241
5000,-1000,800,2276,-2276
5500,-1000,800,2310,-2310
6000,-1000,800,2345,-2345
6500,-1000,800,2379,-2379
7000,-1000,800,2414,-2414
7500,-1000,800,2448,-2448
8000,-1000,800,2483,-2483
8500,-1000,800,2517,-2517
9000,-1000,800,2552,-2552
9500,-1000,800,2586,-2586
10000,-1000,800,2621,-2621
10500,-1000,800,2655,-2655
11000,-1000,800,2690,-2690
11500,-1000,800,2724,-2724
12000,-1000,800,2759,-2759
12500,-1000,800,2793,-2793
13000,-1000,800,2828,-2828
13500,-1000,800,2862,-2862
14000,-1000,800,2897,-2897
14500,-1000,800,2931,-2931
15000,-1000,800,2966,-2966
15500,-1000,800,3000,-3000
16000,-1000,800,3034,-3034
16500,-1000,800,3069,-3069
17000,-1000,800,3103,-3103
17500,-1000,800,3138,-3138
18000,-1000,800,3172,-3172
18500,-1000,800,3207,-3207
19000,-1000,800,3241,-3241
19500,-1000,800,3276,-3276
20000,-1000,800,3310,-3310
20500,-1000,800,3345,-3345
21000,-1000,800,3379,-3379
21500,-1000,800,3414,-3414
22000,-1000,800,3448,-3448
22500,-1000,800,3483,-3483
23000,-1000,800,3517,-3517
23500,-1000,800,3552,-3552
24000,-1000,800,3586,-3586
24500,-1000,800,3621,-3621
25000,-1000,800,3655,-3655
25500,-1000,800,3690,-3690
26000,-1000,800,3724,-3724
26500,-1000,800,3759,-3759
27000,-1000,800,3793,-3793
27500,-1000,800,3828,-3828
28000,-1000,800,3862,-3862
28500,-1000,800,3897,-3897
29000,-1000,800,3931,-3931
29500,-1000,800,3966,-3966
30000,-1000,800,4000,-4000
30500,-500,400,2000,-2000
31000,0,0,0,0
