time_ms,m0,m1,m2,m3
0,0,0,0,0
1000,0,0,0,0
2000,-500,450,1125,-1050
3000,-1000,900,2250,-21010
4000,-1500,1350,3375,-3150
5000,-2000,1800,4500,-4200
6000,-2000,1800,4550,-4240
7000,-2000,1800,4600,-4280
8000,-2000,1800,4650,-4320
9000,-2000,1800,4700,-4360
10000,-2000,1800,4750,-4400
11000,-2000,1800,4800,-4440
12000,-2000,1800,4850,-4480
13000,-2000,1800,4900,-4520
14000,-2000,1800,4950,-4560
15000,-2000,1800,5000,-4600
16000,-2000,1800,5050,-4640
17000,-2000,1800,5100,-4680
18000,-2000,1800,5150,-4720
19000,-2000,1800,5200,-4760
20000,-2000,1800,5250,-4800
21000,-2000,1800,5300,-4840
22000,-2000,1800,5350,-4880
23000,-2000,1800,5400,-4920
24000,-2000,1800,5450,-4960
25000,-2000,1800,5500,-5000
30000,0,0,0,0
